epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2111.77,1.56091,6.81091,1.00875,0.87141,0.86805,0.93415,0.68163,1.4839,6.06121,0.99655,0.000545733,0.000545733,0.000545733
60,2144.56,1.56296,6.88093,1.00833,0.87654,0.86413,0.93273,0.67927,1.47818,6.07827,1.00117,0.000524299,0.000524299,0.000524299
61,2177.41,1.54854,6.7045,1.00378,0.87159,0.86515,0.9335,0.68666,1.4675,6.0163,0.99757,0.00050306,0.00050306,0.00050306
62,2209.42,1.55234,6.81975,1.00564,0.85693,0.88036,0.93195,0.68517,1.46041,5.99896,0.99679,0.000482037,0.000482037,0.000482037
63,2242.31,1.54554,6.72842,1.00816,0.86608,0.86653,0.93228,0.67997,1.5054,6.083,1.00085,0.00046125,0.00046125,0.00046125
64,2274.54,1.56307,6.768,1.00898,0.866,0.86724,0.93333,0.68808,1.46725,6.03113,0.99833,0.00044072,0.00044072,0.00044072
65,2307.06,1.54057,6.66844,0.999,0.87598,0.86079,0.93354,0.68316,1.49194,5.99423,0.9992,0.000420468,0.000420468,0.000420468
66,2338.12,1.54063,6.70275,1.00329,0.86391,0.88172,0.93472,0.69064,1.46912,6.00304,0.9982,0.000400513,0.000400513,0.000400513
67,2369.23,1.54214,6.63033,1.001,0.86891,0.87522,0.93447,0.69088,1.46117,5.98066,0.99513,0.000380874,0.000380874,0.000380874
68,2402.1,1.54238,6.65504,1.00294,0.86936,0.87115,0.93373,0.6893,1.45844,5.95326,0.9946,0.000361572,0.000361572,0.000361572
69,2435.75,1.53513,6.56342,1.00466,0.87483,0.87142,0.9341,0.68974,1.46511,5.94666,0.9933,0.000342625,0.000342625,0.000342625
70,2467.56,1.52226,6.56261,0.9967,0.86557,0.87942,0.93545,0.68795,1.46492,5.93851,0.9919,0.000324053,0.000324053,0.000324053
71,2499.29,1.52203,6.57852,1.00001,0.86334,0.87696,0.93438,0.69481,1.44019,5.91349,0.98882,0.000305872,0.000305872,0.000305872
72,2532.09,1.52151,6.54926,0.99803,0.87847,0.86746,0.93529,0.69224,1.4532,5.90562,0.99185,0.000288102,0.000288102,0.000288102
73,2565.27,1.53548,6.56905,0.99858,0.87124,0.87406,0.93537,0.69074,1.46534,5.95245,0.99377,0.00027076,0.00027076,0.00027076
74,2597.49,1.51676,6.56636,0.99455,0.88125,0.86294,0.93553,0.68736,1.46994,5.93168,0.99642,0.000253863,0.000253863,0.000253863
75,2628.83,1.52015,6.49918,0.99551,0.87555,0.86719,0.93289,0.68728,1.46757,5.93249,0.99357,0.000237427,0.000237427,0.000237427
76,2661.63,1.5277,6.55148,0.99647,0.86656,0.88099,0.93399,0.6916,1.4449,5.88119,0.99081,0.000221469,0.000221469,0.000221469
77,2694.63,1.50307,6.45025,0.99085,0.8677,0.87732,0.93491,0.69508,1.43751,5.86038,0.99014,0.000206005,0.000206005,0.000206005
78,2726.32,1.49521,6.38858,0.99008,0.87188,0.87491,0.93715,0.69736,1.43319,5.83586,0.98907,0.00019105,0.00019105,0.00019105
79,2757.08,1.51766,6.45691,0.99586,0.86963,0.8753,0.93514,0.69443,1.44571,5.84877,0.99047,0.000176619,0.000176619,0.000176619
80,2789.3,1.49743,6.39658,0.99203,0.86499,0.88673,0.93678,0.69697,1.43795,5.81443,0.98956,0.000162725,0.000162725,0.000162725
81,2827.88,1.34767,5.58881,0.96759,0.86741,0.87335,0.93396,0.7008,1.41063,5.88278,0.98653,0.000149383,0.000149383,0.000149383
82,2859.07,1.32064,5.45571,0.9622,0.86563,0.8779,0.93504,0.70435,1.39764,5.80489,0.98542,0.000136605,0.000136605,0.000136605
83,2889.79,1.31296,5.42169,0.95929,0.86599,0.87965,0.93582,0.70209,1.40893,5.81558,0.98744,0.000124405,0.000124405,0.000124405
84,2919.7,1.32884,5.41838,0.95955,0.87242,0.87138,0.93541,0.70076,1.40817,5.81609,0.98648,0.000112795,0.000112795,0.000112795
85,2950.34,1.3043,5.37448,0.95703,0.87188,0.87516,0.93688,0.70247,1.40996,5.79967,0.9831,0.000101785,0.000101785,0.000101785
86,2981.83,1.32058,5.40189,0.95686,0.87304,0.87514,0.9376,0.70625,1.39714,5.76427,0.98324,9.13871e-05,9.13871e-05,9.13871e-05
87,3011.75,1.3121,5.34024,0.95668,0.87434,0.87153,0.93711,0.70628,1.40242,5.75954,0.9849,8.16111e-05,8.16111e-05,8.16111e-05
88,3041.48,1.30802,5.36635,0.95843,0.87122,0.876,0.93781,0.7064,1.40108,5.75456,0.98442,7.24667e-05,7.24667e-05,7.24667e-05
89,3071.74,1.31595,5.36004,0.95739,0.87047,0.87758,0.9376,0.70378,1.41169,5.75616,0.9857,6.3963e-05,6.3963e-05,6.3963e-05
90,3102.35,1.29347,5.28328,0.95526,0.87256,0.87098,0.93778,0.70506,1.40569,5.74568,0.98395,5.61083e-05,5.61083e-05,5.61083e-05
91,3133.48,1.30162,5.2827,0.95462,0.86944,0.87507,0.9379,0.70509,1.40511,5.73759,0.98385,4.89104e-05,4.89104e-05,4.89104e-05
92,3164.81,1.29726,5.25678,0.95684,0.87128,0.87288,0.93774,0.70404,1.41146,5.75153,0.98687,4.23765e-05,4.23765e-05,4.23765e-05
93,3195.22,1.28656,5.24831,0.95397,0.87728,0.87161,0.93748,0.7052,1.40747,5.74886,0.98436,3.65129e-05,3.65129e-05,3.65129e-05
94,3224.45,1.29575,5.25881,0.95206,0.87221,0.87714,0.93796,0.70651,1.40102,5.73861,0.9835,3.13254e-05,3.13254e-05,3.13254e-05
95,3255.4,1.29298,5.25124,0.95244,0.87348,0.87464,0.93811,0.70712,1.39778,5.72617,0.98238,2.68192e-05,2.68192e-05,2.68192e-05
96,3286.67,1.29971,5.25193,0.95587,0.87214,0.87687,0.93795,0.70703,1.4001,5.73606,0.98297,2.29987e-05,2.29987e-05,2.29987e-05
97,3320.06,1.30356,5.26473,0.95273,0.88028,0.87174,0.93823,0.70639,1.40163,5.72616,0.98261,1.98677e-05,1.98677e-05,1.98677e-05
98,3360.94,1.29478,5.22264,0.95346,0.87143,0.87861,0.93819,0.70751,1.39784,5.71175,0.9818,1.74293e-05,1.74293e-05,1.74293e-05
99,3392.52,1.28962,5.2392,0.95213,0.87813,0.8715,0.93783,0.70739,1.39755,5.71383,0.98155,1.56858e-05,1.56858e-05,1.56858e-05
100,3429.92,1.29249,5.19875,0.9513,0.88051,0.87147,0.93802,0.70588,1.40345,5.72241,0.98206,1.4639e-05,1.4639e-05,1.4639e-05
